pubid,gsid,univ
15764587871394294675,Cxwj5hEAAAAJ,Brown University
15764727781538888534,fn13u8IAAAAJ,University of Wisconsin - Madison
15765106179721683063,0ytii2EAAAAJ,Carnegie Mellon University
15765973473116056638,9fBhPy0AAAAJ,Rutgers University
15766045653233063520,S5AaMfgAAAAJ,Rutgers University
15766417911280882629,xT19Jc0AAAAJ,University of California - Berkeley
15767536588786347889,yWJ9BqEAAAAJ,George Mason University
15767785156667357059,2s9_ZWgAAAAJ,Univ. of Illinois at Urbana-Champaign
15767847539925438964,x9kzObUAAAAJ,Northeastern University
15767919724940613976,j29kMCwAAAAJ,California Institute of Technology
15767924181734600895,XfQ7rDoAAAAJ,University of Texas - El Paso
15768519619018408179,_0iLGqEAAAAJ,University of Vermont
15768519619018408179,9ZM8OlMAAAAJ,University of Maryland - College Park
15768762430140345238,5m5ds6UAAAAJ,Purdue University
15768762430140345238,BzOqNoQAAAAJ,Cornell University
15768762430140345238,Q_kKkIUAAAAJ,Stanford University
15768772514645166881,LoQXe24AAAAJ,University of Maryland - College Park
15770079656021854085,ac1SojMAAAAJ,Massachusetts Institute of Technology
15770079656021854085,GP64q_kAAAAJ,University of California - Berkeley
15770421750241395382,a7akgIEAAAAJ,Northeastern University
15770421750241395382,g9bV-_sAAAAJ,University of Michigan
15771042375005543749,0QtU-NsAAAAJ,Carnegie Mellon University
15771042375005543749,vtwH6GkAAAAJ,University of California - Berkeley
15771435030000592548,wToVkEUAAAAJ,Virginia Tech
15771435030000592548,XBj4HWoAAAAJ,University of Texas at San Antonio
1577177866147898506,iLQqwosAAAAJ,Harvard University
15771836461266376271,soiDQbQAAAAJ,University of California - Davis
15772220796364644115,9jmmp5sAAAAJ,Georgia Institute of Technology
15772383141264539771,SWqd2rgAAAAJ,Stanford University
15772383141264539771,wb-DKCIAAAAJ,University of Washington
15772756471827301774,eqs6v1wAAAAJ,Indiana University
15773105918753633123,4uuuczIAAAAJ,University of California - San Diego
15773105918753633123,MLx5TCQAAAAJ,University of Virginia
15773298578020206994,4EPE1s4AAAAJ,University at Buffalo
15773298578020206994,dvvN6qsAAAAJ,University at Buffalo
15774108819285457914,PNhUilMAAAAJ,West Virginia University
15774875382477747379,KgZxzjsAAAAJ,University of California - Berkeley
15774875382477747379,MEeYxLMAAAAJ,Stanford University
15775910724547739499,RaHaArkAAAAJ,University of Massachusetts Amherst
15775910724547739499,yMU0f9EAAAAJ,University of Massachusetts Amherst
15776066589236796473,jDCiMQkAAAAJ,University of Florida
15776486391555200154,FEnuzckAAAAJ,Carnegie Mellon University
1577657935374922713,RoGOW9AAAAAJ,University at Buffalo
15776682207364172010,UgHB5oAAAAAJ,University of California - Berkeley
15777185426640698094,RaHaArkAAAAJ,University of Massachusetts Amherst
15777323559095483653,mb8mQH8AAAAJ,University of California - Berkeley
15777360107599688293,ND0FM6EAAAAJ,Massachusetts Institute of Technology
15778206456623414691,BVlfmXMAAAAJ,Temple University
15779341040341554402,5ExRjncAAAAJ,University of Maryland - College Park
15779343314942934483,z7GCqT4AAAAJ,Univ. of Illinois at Urbana-Champaign
15779535331192966572,zoBZ_FMAAAAJ,Ohio State University
15779770680374808707,gMQWxE0AAAAJ,University of Florida
15779825929084413555,XXb5p_4AAAAJ,University of Pittsburgh
1577992706012453542,zkhHirIAAAAJ,Stanford University
15780206093044364716,ElqwScwAAAAJ,University of Minnesota
15781444868292583646,A_A_LrsAAAAJ,Univ. of Illinois at Urbana-Champaign
15781444868292583646,jWx3qtIAAAAJ,Stony Brook University
15781648463791953588,kOc0x0MAAAAJ,Arizona State University
15783072683810160180,ZnT-QpMAAAAJ,TTI Chicago
15783604540977060935,pxFyKAIAAAAJ,Texas A&M University
15783730484503433355,07ds-DAAAAAJ,Princeton University
15783870748535740036,5AWXENIAAAAJ,University of California - San Diego
15783925493573816663,0GrFcZsAAAAJ,Virginia Commonwealth University
15784046604764916277,DPxLTGgAAAAJ,University of Washington
15784495170413987259,2P1kinAAAAAJ,University of California - Riverside
15784612257059568017,jE73HYAAAAAJ,Illinois Institute of Technology
15784749421825213213,z0KD3z4AAAAJ,University of Colorado Boulder
15785252093840994919,9Q9tiCsAAAAJ,University at Buffalo
15785252093840994919,Bi8bhC0AAAAJ,University at Buffalo
15785384414004207231,FyeZL14AAAAJ,Michigan State University
15786009560764956493,ZsA3NvYAAAAJ,Wayne State University
15786243798706870706,_KCqeIEAAAAJ,Binghamton University
15786265805102649463,6JU9KqgAAAAJ,Carnegie Mellon University
15786786006040565693,P29s_F0AAAAJ,University of Wisconsin - Madison
15786863607584029732,NvKHgzkAAAAJ,University of California - Berkeley
15787524665402840218,T2U5sGIAAAAJ,University of Washington
15787998652209607227,Y80iWtgAAAAJ,Carnegie Mellon University
15788187501841667073,aOy7jnQAAAAJ,Naval Postgraduate School
15788409286318294203,Lsr_-hsAAAAJ,Carnegie Mellon University
15788421755297932430,70vJVxcAAAAJ,Cornell University
15788899357871220,3qJQjIYAAAAJ,Univ. of Illinois at Urbana-Champaign
15788899357871220,COjq9XUAAAAJ,University of Chicago
15788899357871220,Jre2RUQAAAAJ,University of South Carolina
15788965362296063438,LhOAiXMAAAAJ,University of Pennsylvania
15789417592747913905,CGb88B0AAAAJ,University of Colorado Boulder
15789417592747913905,WxmhtyMAAAAJ,University of Colorado Boulder
15789659339560814616,VusVB38AAAAJ,Yale University
15789907098366524519,YjPRWAEAAAAJ,George Mason University
15790069476611767172,lH1PdF8AAAAJ,University of California - Los Angeles
15790070040617630590,NdcgT00AAAAJ,University of Texas - El Paso
15790221788850089111,KltleWgAAAAJ,University of California - Santa Barbara
15790641653326976021,0y6JDD4AAAAJ,Carnegie Mellon University
15790651429642103316,GU9HgNAAAAAJ,University of California - Los Angeles
15790651429642103316,HSx0BgQAAAAJ,Northwestern University
15790651429642103316,XaFT1o4AAAAJ,Northwestern University
15790800789701816713,MYqlcPgAAAAJ,University of Washington
15790921541198952486,cVDF1tkAAAAJ,Rutgers University
15792283057349312488,lc0ARagAAAAJ,University of Maryland - College Park
15792666629365308735,4uuuczIAAAAJ,University of California - San Diego
15792666629365308735,H790-zwAAAAJ,University of California - Berkeley
15792785335705201119,a_50FBsAAAAJ,University of California - Los Angeles
15792974346993202740,adnTgaAAAAAJ,University of California - Berkeley
15792974346993202740,LiH53A8AAAAJ,Stanford University
15792974346993202740,rXYLXJMAAAAJ,Columbia University
15793138336020013889,whacJzwAAAAJ,Carnegie Mellon University
15793174051075492283,4arkOLcAAAAJ,Stanford University
15793405476736784677,E3oBkwwAAAAJ,University of Houston
15793607936525245840,6JEDxqcAAAAJ,University of Florida
15793810393420850513,_B6SayMAAAAJ,Rochester Institute of Technology
15793889272249982174,seB8s3wAAAAJ,University of Texas at San Antonio
15794137489872649551,2lZr6WsAAAAJ,University of California - San Diego
15794187562339928649,kxDm9EsAAAAJ,University of Michigan
15794439655094069866,EqetexsAAAAJ,University of California - San Diego
15794633457158948494,-8-sD-sAAAAJ,Northeastern University
15795058934861634500,FWp7728AAAAJ,Carnegie Mellon University
15795746193490962603,81cvn3sAAAAJ,University of California - San Diego
15795746193490962603,j-Lk39cAAAAJ,University of California - Riverside
15795837572616584342,q0MzO6cAAAAJ,University of California - San Diego
15796235714267238422,CqH_t6MAAAAJ,University of North Carolina
15796491664432257979,okx33sUAAAAJ,University of California - San Diego
15797089960500498701,54HfyDIAAAAJ,University of Rochester
15798396088866472689,r_GU-AwAAAAJ,Purdue University
15798396088866472689,X0XWAGkAAAAJ,Johns Hopkins University
15798733697746374665,zXw_54AAAAAJ,Virginia Commonwealth University
15799020658560679463,pFRPgsIAAAAJ,University of Texas at Dallas
15799341503298887725,RiJSLsoAAAAJ,University of Illinois at Chicago
15799782587416255109,DRvJPxcAAAAJ,Boston University
15800367903437672209,wB01auEAAAAJ,University of Wisconsin - Madison
1580064571781185151,blFs68UAAAAJ,Colorado State University
15800682798369006745,oAaMfQsAAAAJ,University of Texas at Dallas
15800768327467938424,P1s523UAAAAJ,University at Albany - SUNY
15800869538854940568,iSsKAqQAAAAJ,Brigham Young University
15801150958408685866,hc1m_BQAAAAJ,University of Minnesota
15801150958408685866,vY7MdLYAAAAJ,University of Michigan
15801316374189576744,5yT3GScAAAAJ,Tufts University
15801561555047722440,NU-FHh4AAAAJ,Princeton University
15801561555047722440,wcbyR5UAAAAJ,Stony Brook University
15801765281171742313,Fn5PadcAAAAJ,University of Michigan
15801765281171742313,hc9PP9gAAAAJ,University of Michigan
15802202969702724401,hrQOcZcAAAAJ,Texas A&M University
15803094925926301850,NSwUmTMAAAAJ,University of Utah
15803447435130515711,GqnNG-kAAAAJ,University of Tennessee
15804845963707173432,V_cvqKcAAAAJ,Carnegie Mellon University
15805016926029495031,30pCSfEAAAAJ,Wayne State University
15805345448853140638,1zmDOdwAAAAJ,Stanford University
15805345448853140638,Qrd7FCoAAAAJ,Columbia University
15805462612381686691,dv7u9JgAAAAJ,Florida State University
15805506961047915622,04TuVhEAAAAJ,Cornell University
15805506961047915622,twWX2LIAAAAJ,New York University
15805522123600507730,CKXeqHoAAAAJ,University of California - San Diego
15805866250323385757,A-4JUL4AAAAJ,Carnegie Mellon University
15806449960831518484,r49_E2cAAAAJ,Columbia University
15806503394493955265,DSEH8XsAAAAJ,University of Texas at Austin
15806628257967451000,2T3H4ekAAAAJ,University of South Carolina
15806797111741242065,Yy6xbCYAAAAJ,University of California - Berkeley
15806957555982225344,BGh9WU4AAAAJ,Massachusetts Institute of Technology
15806957555982225344,BmshmX8AAAAJ,University of California - Riverside
15806957555982225344,Z6nLCukAAAAJ,Carnegie Mellon University
15807355818931749768,CqH_t6MAAAAJ,University of North Carolina
15807815631666358849,rx92O6IAAAAJ,University of Maryland - College Park
1580801115675050772,5cS1i-UAAAAJ,Northwestern University
15808017894420001565,Q-As1CEAAAAJ,University of Virginia
15808047214181266414,uT9We9MAAAAJ,Princeton University
15808109864337557588,M5W9tuUAAAAJ,Virginia Commonwealth University
15808109864337557588,ptStzsoAAAAJ,University of Colorado Boulder
15808109864337557588,zLLJimcAAAAJ,University of Florida
15808150848763411266,Jd6nw80AAAAJ,Ohio State University
15808253123060181149,p8gsO3gAAAAJ,University of Central Florida
1580870175324742170,iTtzc1UAAAAJ,Pennsylvania State University
15808895045898589987,AN3f7iAAAAAJ,University of California - Riverside
15808895045898589987,QJ-pKL0AAAAJ,College of William and Mary
15808895045898589987,zr9OzAUAAAAJ,Binghamton University
15809129676619929487,ylK19VUAAAAJ,University of Pittsburgh
15809802155342187719,aPJHArAAAAAJ,University of California - Riverside
1581013990272989234,5mIkNyYAAAAJ,University of California - Irvine
1581013990272989234,8LEH940AAAAJ,University of Colorado Boulder
15811152590658568101,M_soLLcAAAAJ,University of Georgia
15811167999724372932,gUEkPQEAAAAJ,University of California - Davis
15812222908511771600,V-zvBOgAAAAJ,University of Central Florida
15813507110340473234,16posrQAAAAJ,University of Texas at Austin
15813790054673721891,u97Fg9IAAAAJ,Queen’s University
15814980206798976914,DPxLTGgAAAAJ,University of Washington
15815026248191809336,7anf7aEAAAAJ,University of Notre Dame
15815040651442633408,PJOGQc4AAAAJ,NJIT
15815144057798951386,3_WYcR4AAAAJ,Cornell University
15815883194566759206,CCGI7x4AAAAJ,Georgia Institute of Technology
15816108467589778638,DPxLTGgAAAAJ,University of Washington
15816302633829379750,6IHX8J4AAAAJ,Columbia University
15816881644626295565,juRk4lQAAAAJ,Duke University
15817796957364212470,DKfEcuEAAAAJ,California Institute of Technology
15818332259144066672,IQATIvYAAAAJ,University of Nebraska - Omaha
15818383343033487472,3OlOXn4AAAAJ,University of Connecticut
15818557340381761980,HzxnwocAAAAJ,Pennsylvania State University
15818917645664230598,0hTZUnYAAAAJ,Binghamton University
15819056295349399015,CYwffSUAAAAJ,Wayne State University
15819118230539039538,2F-jTfEAAAAJ,Georgia State University
15819715655285376388,OcIwjtEAAAAJ,Louisiana State University - Baton Rouge
15819992011021678859,hRV0tY4AAAAJ,Stony Brook University
15821932163411279736,N3Jc1zMAAAAJ,Iowa State University
15822153272698295165,vr_V3AQAAAAJ,New Mexico Tech
15822297055908730977,cbTB5-EAAAAJ,University of Massachusetts Amherst
15822313246492111357,d-VnBn8AAAAJ,Virginia Tech
15822473429968741789,DWv0xG0AAAAJ,Syracuse University
15822672374461818887,Jd6nw80AAAAJ,Ohio State University
15823506077970208252,CsGlDGEAAAAJ,University of North Carolina
1582377569089600183,MnsxqAcAAAAJ,Univ. of Illinois at Urbana-Champaign
15823777562273815977,nt2-TpIAAAAJ,TTI Chicago
15823810961707562333,IQ5XCgYAAAAJ,University of Notre Dame
15824311167660397835,0y6JDD4AAAAJ,Carnegie Mellon University
15824515715616942068,yjFpPkYAAAAJ,Colorado State University
15824769529952915400,DSLquxEAAAAJ,University of California - Los Angeles
15824805775096326718,EFB9ZuwAAAAJ,University of South Florida
15825158042426909695,h0gtwxIAAAAJ,University of Michigan
15825158042426909695,tZ4fdX0AAAAJ,Indiana University
15825612458036971196,1KRXBIwAAAAJ,Boston University
15825612458036971196,xd_8IiIAAAAJ,University of Washington
15825828261320671026,8iQk0DIAAAAJ,University of Pennsylvania
1582626697342690211,tlh8i7gAAAAJ,University of Washington
15826980371163005938,72RvQTgAAAAJ,Clemson University
15827719551832319261,NB-SMk8AAAAJ,University of Central Florida
15828158202850495722,nxNkEiYAAAAJ,Massachusetts Institute of Technology
15828256945380837524,CK_GLC8AAAAJ,University of California - San Diego
15828256945380837524,JpC9bmEAAAAJ,University of California - Santa Barbara
15828256945380837524,SIxd6jgAAAAJ,University of Washington
15828400189567159576,V9VBMa8AAAAJ,Stony Brook University
15828657592227974609,tu39-p8AAAAJ,Boston University
1582870301019179827,ege5vzMAAAAJ,Brown University
15828803353355358781,fU8fmEIAAAAJ,University of Pennsylvania
15829282590319124476,FUWxMaQAAAAJ,University of Maryland - College Park
15829282590319124476,OP27m34AAAAJ,University of California - San Diego
1582957055089888440,DS6rCasAAAAJ,University of California - Los Angeles
15830236636705216317,qMOS01AAAAAJ,Massachusetts Institute of Technology
15831171098280762241,2kpYWtEAAAAJ,University of California - Irvine
15831594475099406148,h6jljQQAAAAJ,Cornell University
1583162020834199568,_Fah5fwAAAAJ,Purdue University
15831876449701880816,r6ifxUIAAAAJ,University of Texas at Austin
15832096339373425415,Nut-uvoAAAAJ,University of Central Florida
15832538610994489168,rW1Bio0AAAAJ,University of California - Berkeley
15832968291899262314,LrjJYV4k6WkC,Georgetown University
15832971581774289805,xkCYK58AAAAJ,Georgia Institute of Technology
1583345472057112905,D0lL1r0AAAAJ,University of Illinois at Chicago
15834565433130661514,2T3H4ekAAAAJ,University of South Carolina
15834740885781642491,K9wOrRIAAAAJ,University of Massachusetts Lowell
15835414044336980216,jDmd7AoAAAAJ,University of Central Florida
15836409736939151225,IWcGY98AAAAJ,Carnegie Mellon University
15836645590118741376,JJ9AvbAAAAAJ,Columbia University
15836645590118741376,tkb2YWQAAAAJ,Brown University
15836902753621490207,plv0rRQAAAAJ,University at Buffalo
15837005854186271268,EDC2EP0AAAAJ,University of Pittsburgh
15837005854186271268,T8-BGRsAAAAJ,University of Pittsburgh
15837172542854947624,lHvOG4EAAAAJ,Florida Atlantic University
15837189440745398069,N4oy61IAAAAJ,University of Texas at Arlington
15837382499848382081,m201flcAAAAJ,Georgia Institute of Technology
15837569066915778987,CknstQwAAAAJ,Columbia University
15837569066915778987,ZTkRs84AAAAJ,University of Southern California
15840170895018530695,sGFFr5kAAAAJ,University of Michigan
15840667999121724971,DHruBmIAAAAJ,University of Texas at San Antonio
15841432281670127910,deLqgtMAAAAJ,University of Delaware
15842327069850932348,QSY7ufMAAAAJ,University of California - Irvine
15842422469928353233,Gih-kpUAAAAJ,IUPUI
15842470697307725020,FUWxMaQAAAAJ,University of Maryland - College Park
15842470697307725020,OP27m34AAAAJ,University of California - San Diego
15843020755107410741,Pnev7hAAAAAJ,Iowa State University
15843200843387963404,cLssJjcAAAAJ,University of Texas at Arlington
15844736045159316304,XvoGQx4AAAAJ,Colorado School of Mines
15844821075304033825,9xDADY4AAAAJ,Boston University
15844821075304033825,nXBQn7gAAAAJ,Boston University
15845021332101349518,0GLMGTEAAAAJ,Carnegie Mellon University
15845644825558481304,bH9h9x4AAAAJ,Florida State University
15845644825558481304,co8JfCAAAAAJ,Michigan Technological University
15845866230043224646,i38QlUwAAAAJ,Stanford University
15845866230043224646,MDCu0WEAAAAJ,Northeastern University
15845987284385787663,cLb-v7gAAAAJ,University of Wisconsin - Madison
15846628678469592947,RUP4S68AAAAJ,Princeton University
15846738490601785614,HvNdFJcAAAAJ,University of Connecticut
15846746760086843460,ymCi4oEAAAAJ,Indiana University
15846818239707256993,vukA8JAAAAAJ,North Carolina State University
15846900184634928679,Bv6qOYsAAAAJ,University of Illinois at Chicago
15847356728326144044,LrjJYV4k6WkC,Georgetown University
15847650987383452170,jWx3qtIAAAAJ,Stony Brook University
15848086819963634391,HA3R65IAAAAJ,University of Colorado Boulder
15848143811918502370,EYo_WkEAAAAJ,Georgia Institute of Technology
15848219423721012797,_0mWbaoAAAAJ,Rochester Institute of Technology
15848219423721012797,Gwrwxa0AAAAJ,Duke University
15848219423721012797,OG2QONwAAAAJ,Northeastern University
15848624188957792970,vDw80QEAAAAJ,Princeton University
15848629315861625554,gyLFs0IAAAAJ,College of William and Mary
15848636083007065333,kqPhodQAAAAJ,University of Pennsylvania
1584872716392110249,3Xql0fwAAAAJ,University of Chicago
15848939479060587210,TMw2-csAAAAJ,University of California - Santa Cruz
15848945955431497587,QR4VpsIAAAAJ,Michigan State University
15849931290048552974,5mIkNyYAAAAJ,University of California - Irvine
15849993143187162636,xuOJUqsAAAAJ,Worcester Polytechnic Institute
15850082345147223611,_h642WsAAAAJ,University of California - Santa Cruz
15850110536884693991,watx0IAAAAAJ,Princeton University
15850817214156889067,pUaHHjUAAAAJ,Northeastern University
15851520143855097502,0G2t-6sAAAAJ,Carnegie Mellon University
15851698742463762316,vrHhOlUAAAAJ,Boston University
15852158442699861506,xALG_EMAAAAJ,University of California - Santa Cruz
15852421154289052489,U6XKBVIAAAAJ,University of New Mexico
15852583361069596246,muk0-U4AAAAJ,Rutgers University
15853922853921318881,CujCxdYAAAAJ,CUNY
15854525189371934853,h_DY5OQAAAAJ,Duke University
15854852279975133897,Bj5YOnYAAAAJ,Purdue University
1585517271902656670,my5lwzIAAAAJ,Rochester Institute of Technology
15856014418634567955,H1XVLwsAAAAJ,University of Michigan
15856056599568280204,UzCRNJwAAAAJ,Georgia State University
15856195780049645281,yxpqbdQAAAAJ,Univ. of Illinois at Urbana-Champaign
1585786902195536483,UmwJklEAAAAJ,Rensselaer Polytechnic Institute
15857940381286817508,-YvgZDEAAAAJ,Yale University
15857940381286817508,zxeEF2gAAAAJ,University of Maryland - College Park
15858116397108184490,txEgjecAAAAJ,University of Michigan
1585858566006911002,tZ4fdX0AAAAJ,Indiana University
15859014789961173283,HGNZ1fkAAAAJ,University of California - Santa Barbara
15860192858525199128,KpWOS14AAAAJ,University of Central Florida
15860797196389884022,tY9bQTkAAAAJ,University of South Carolina
15860810082143414911,LnhCGNMAAAAJ,Princeton University
15860827913072569425,pwzksPcAAAAJ,University of New Mexico
15860987196629929903,DQaARsgAAAAJ,Rice University
15861231927219633588,ewrrvq8AAAAJ,Northern Arizona University
15861231927219633588,hwlkAZYAAAAJ,University of Houston
15861727934643066639,kDkH9UkAAAAJ,University of Wisconsin - Madison
15861753207190687532,Q29WmWwAAAAJ,Tufts University
15862018153485258456,glFPEWIAAAAJ,Northeastern University
15862161394241643393,EhodjeAAAAAJ,Georgetown University
15862437115742870141,r5U-D7YAAAAJ,Columbia University
15862522620188482581,2WeXBokAAAAJ,University of Nebraska
15862522620188482581,n9_W4kYAAAAJ,Kent State University
15862679638535062589,dIJFcaoAAAAJ,Massachusetts Institute of Technology
15863085892885679039,m1IeAdcAAAAJ,Pennsylvania State University
15863572910388419171,E3APGcgAAAAJ,Ohio State University
158635807793637430,deLqgtMAAAAJ,University of Delaware
15863774125806830920,2X6fAZgAAAAJ,University of Minnesota
15863936190778182410,uL470LwAAAAJ,Rutgers University
15863936190778182410,ZuCDNqwAAAAJ,Rutgers University
15863936866362450767,P29s_F0AAAAJ,University of Wisconsin - Madison
15863962840988619674,7x-Q4Y8AAAAJ,University of Colorado Boulder
15864239009070119424,ugFNit4AAAAJ,University of Maryland - College Park
15864769444066341821,tZ9pEDMAAAAJ,Cornell University
15864811576121214366,QtAVGP8AAAAJ,New Mexico State University
15865478524641105933,LnhCGNMAAAAJ,Princeton University
15865737904495031401,bBHxY_MAAAAJ,University of Chicago
15865799673283435288,3qJQjIYAAAAJ,Univ. of Illinois at Urbana-Champaign
15866889498004673138,Rh16nsIAAAAJ,Cornell University
15866889498004673138,yqt5PeEAAAAJ,Carnegie Mellon University
15867351102028758865,z13bIdkAAAAJ,University of Notre Dame
15868969133613697821,Kv9AbjMAAAAJ,Univ. of Illinois at Urbana-Champaign
15869036872176390975,TW6dnZUAAAAJ,Rice University
15869428442912883874,z7GCqT4AAAAJ,Univ. of Illinois at Urbana-Champaign
15869512843191107675,WXV9HW4AAAAJ,Stony Brook University
15869724861231511471,A5D1DF4AAAAJ,North Carolina State University
15869839645072763597,gvo0nMsAAAAJ,University of Florida
15869839645072763597,oCFvA2UAAAAJ,University of Florida
15870088529015902800,zoBZ_FMAAAAJ,Ohio State University
15870189802986694170,CO7nYfIAAAAJ,Northeastern University
15870461144828051186,D2K-ADYAAAAJ,Univ. of Illinois at Urbana-Champaign
15870461144828051186,rnR3JrYAAAAJ,University of California - Los Angeles
15870612856014663677,EetL2HQAAAAJ,University of Maryland - College Park
15870862407226675942,WfGLzyAAAAAJ,Purdue University
1587146257390356420,CidT-JAAAAAJ,Indiana University
15871511295553812063,deLqgtMAAAAJ,University of Delaware
15871901557266333577,ivApfKcAAAAJ,Johns Hopkins University
15872496025766010967,dd1qLRcAAAAJ,North Carolina State University
15872496025766010967,UUAn_V8AAAAJ,North Carolina State University
15872847446155116191,kqfLNK8AAAAJ,Georgia Institute of Technology
15873426034443181527,sGFFr5kAAAAJ,University of Michigan
15873842651016878306,tEk4qo8AAAAJ,California Institute of Technology
15873915304940561238,4uypulQAAAAJ,University of Wisconsin - Madison
15873915304940561238,6jzveA4AAAAJ,University of Oregon
15874194456927752120,04TuVhEAAAAJ,Cornell University
15874194456927752120,VX7d5EQAAAAJ,Cornell University
1587499212205451645,HRSDO6IAAAAJ,Washington University in St. Louis
15875761670146299615,Iwd9DdkAAAAJ,Ohio State University
15876041957405202595,zQKRsSEAAAAJ,Utah State University
15876133849224303954,W5Me4Q8AAAAJ,University at Buffalo
15876278071965858027,dok0514AAAAJ,University of Notre Dame
15876578561585459213,ZFsLVTwAAAAJ,University of Nevada
15876685566412792551,MNJ-E9UAAAAJ,University of Virginia
15876685566412792551,sPzla6IAAAAJ,University of Maryland - College Park
15877651279968681682,C_cWJIkAAAAJ,Purdue University
15878371695239956622,4HTITaMAAAAJ,Northeastern University
15878707740372485547,ORr4XJYAAAAJ,Cornell University
15879022935326897778,9F-Jk74AAAAJ,Emory University
15879286943579435469,XcaEg-cAAAAJ,University of California - Santa Barbara
15880472559374171059,IeqjwlIAAAAJ,Cornell University
15880494051374026555,xJyMo0MAAAAJ,University of Houston
15880759881774862802,bv_o8b0AAAAJ,University of Oklahoma
158811828754348153,g9yS74gAAAAJ,Pennsylvania State University
158811828754348153,KIFPVWoAAAAJ,University of Massachusetts Amherst
1588186222785179425,OMVTRscAAAAJ,Columbia University
15882523812527919170,aiPgs4oAAAAJ,University of Pennsylvania
15882523812527919170,JnWSU4oAAAAJ,University of Pennsylvania
15882523812527919170,MbF6rTEAAAAJ,University of Minnesota
15882523812527919170,t0ZfFH8AAAAJ,University of Washington
15882959962378648317,iIFHZ1UAAAAJ,Worcester Polytechnic Institute
15883217540679840581,_8wfjeAAAAAJ,University of Chicago
15883238919314017102,h6h5FdoAAAAJ,University of Pennsylvania
15884373128067778624,b32YyLIAAAAJ,Texas A&M University
15884680122632652823,wOO8rEMAAAAJ,University of Colorado Boulder
15884680122632652823,zkxrDS8AAAAJ,University of Colorado Boulder
15884734879608366106,gPKDZtwAAAAJ,University of Michigan
15885324383813157551,syv4e-EAAAAJ,Duke University
15885536955295081727,hwc6A1MAAAAJ,University of California - Irvine
15885964967686480690,pD_y458AAAAJ,Pennsylvania State University
15886433581733400839,UVGe0gQAAAAJ,University of California - Los Angeles
15887232931554678188,GaKxFrcAAAAJ,Oregon State University
15887338926338008330,hhBx6TMAAAAJ,University of Florida
1588760031285057680,8OW3TMMAAAAJ,Purdue University
15888362675563358004,Yg_QjxcAAAAJ,Georgia Institute of Technology
15889245109607362861,ETFTMZMAAAAJ,University of South Carolina
15890260769740780525,JB1j474AAAAJ,Dartmouth College
15891018629155276384,mS1VzxkAAAAJ,NJIT
1589105299978204798,LIdVlPsAAAAJ,Columbia University
1589113803655992498,x8UnxSoAAAAJ,University of California - Riverside
15891203447605142534,o7yFQXUAAAAJ,Carnegie Mellon University
15891203447605142534,Q4DTPw4AAAAJ,Carnegie Mellon University
15891377251975307083,9XFx3VMAAAAJ,University at Buffalo
15892070815675358592,sYt1rjsAAAAJ,University of Arizona
15892246399825698425,mRI6AogAAAAJ,University of Maryland - College Park
15892393279057139107,O125w4cAAAAJ,NJIT
15892907111815055899,bGRVPl8AAAAJ,University of Chicago
15893793540340603418,rjnJnEkAAAAJ,Stanford University
15893932426093408725,2JMaTKsAAAAJ,Johns Hopkins University
1589399527650670921,CG56DzcAAAAJ,Rochester Institute of Technology
15894282736251956862,r1Z8YhQAAAAJ,Purdue University
15894372302016195268,BMVESLIAAAAJ,University of Delaware
15894939802208159494,H4rKFc8AAAAJ,George Mason University
15895938883065239484,K1cZ7SsAAAAJ,Harvard University
15896842543273564687,VGr54BoAAAAJ,University of Wisconsin - Madison
1589703978203328243,-vKI5s0AAAAJ,University of North Carolina
15897301013868990895,OImDWloAAAAJ,University of New Mexico
15897446205406358047,Dzh5C9EAAAAJ,University of Michigan
15897446205406358047,vY7MdLYAAAAJ,University of Michigan
15897889669395759092,PqdLgQ0AAAAJ,University of California - Santa Cruz
15898648158697729600,PJOGQc4AAAAJ,NJIT
15898899417885646913,MfLLOyMAAAAJ,CUNY
15899136019756436902,Dl0puDcAAAAJ,University of California - Riverside
15899136019756436902,tI-oUmsAAAAJ,Rice University
15899305021663704809,jald9mcAAAAJ,Montana State University
159008590890727653,bkN-YUkAAAAJ,University of Massachusetts Amherst
15901005297084099165,mhKUSRMAAAAJ,University of Arizona
1590121069448929046,PqdLgQ0AAAAJ,University of California - Santa Cruz
15902496599428330163,8EDHmYkAAAAJ,University of Southern California
15902734319048504011,jald9mcAAAAJ,Montana State University
15903539328988284917,YZHj-Y4AAAAJ,Stanford University
1590594697494562679,6VDjaN4AAAAJ,Virginia Tech
15906432126021120424,hOCBMzIAAAAJ,University of Utah
15906466458885677523,XM97iScAAAAJ,Georgia Institute of Technology
15906475845113527665,6YU6_QoAAAAJ,Carnegie Mellon University
15906475845113527665,Hyhp_zUAAAAJ,Carnegie Mellon University
15906475845113527665,-wm8urcAAAAJ,Yale University
15906777265566078124,9kT9SaIAAAAJ,University of Wisconsin - Milwaukee
15906867102650321966,66qppJsAAAAJ,Harvard University
15907031405656303512,UKqaI5IAAAAJ,University of Utah
15907308523174944814,WjrtwJgAAAAJ,University of Georgia
15907814454616881134,CeieiIgAAAAJ,University of California - San Diego
15909035934896541234,tR5MNfkAAAAJ,Tufts University
15909201770802049159,pg02-e8AAAAJ,University of Virginia
15910646352285251548,IQATIvYAAAAJ,University of Nebraska - Omaha
15910799875155216438,D0pzuNoAAAAJ,Binghamton University
