Alan M. Frieze,Carnegie Mellon University
Alan Mislove,Northeastern University
Alan Ritter,Ohio State University
Alanson P. Sample,University of Michigan
Alan Sussman,University of Maryland - College Park
Alan S. Willsky,Massachusetts Institute of Technology
Alan T. Sherman,Univ. of Maryland - Baltimore County
Alan W. Black,Carnegie Mellon University
Albert Chern,University of California - San Diego
Albert-László Barabási,Northeastern University
Albert Mo Kim Cheng,University of Houston
Alberto Cano 0001,Virginia Commonwealth University
Alberto Del Pia,University of Wisconsin - Madison
Alberto L. Sangiovanni-Vincentelli,University of California - Berkeley
Alberto Maria Segre,University of Iowa
Alberto Quattrini Li,Dartmouth College
Albert R. Meyer,Massachusetts Institute of Technology
Al Davis,University of Utah
Aleksandar Kuzmanovic,Northwestern University
Aleksander Madry,Massachusetts Institute of Technology
Aleksandra Korolova,University of Southern California
Alessandra Scafuro,North Carolina State University
Alessandro Acquisti,Carnegie Mellon University
Alessandro Chiesa,University of California - Berkeley
Alessandro Orso,Georgia Institute of Technology
Alessandro Roncone,University of Colorado Boulder
Alessandro Vespignani,Northeastern University
Alexander Aiken,Stanford University
Alexander A. Razborov,University of Chicago
Alexander A. Sherstov,University of California - Los Angeles
Alexander Borgida,Rutgers University
Alexander Brodsky 0001,George Mason University
Alexander G. Gray,Georgia Institute of Technology
Alexander G. Huth,University of Texas at Austin
Alexander G. Schwing,Univ. of Illinois at Urbana-Champaign
Alexander Herzog,Clemson University
Alexander J. Hartemink,Duke University
Alexander Kotov,Wayne State University
Alexander Lex,University of Utah
Alexander L. Wolf,University of California - Santa Cruz
Alexander M. Rush,Cornell University
Alexander Nelson,University of Arkansas
Alexander Ororbia,Rochester Institute of Technology
Alexander Rakhlin,University of Pennsylvania
Alexander Rasin,DePaul University
Alexander Russell,University of Connecticut
Alexander T. Ihler,University of California - Irvine
Alexander Tropsha,University of North Carolina
Alexander V. Veidenbaum,University of California - Irvine
Alexandra Boldyreva,Georgia Institute of Technology
Alexandra Kolla,University of Colorado Boulder
Alexandra Meliou,University of Massachusetts Amherst
Alexandr Andoni,Columbia University
Alexandre M. Bayen,University of California - Berkeley
Alexandre Megretski,Massachusetts Institute of Technology
Alexandros Daglis,Georgia Institute of Technology
Alexandros G. Dimakis,University of Texas at Austin
Alexandros Kapravelos,North Carolina State University
Alexandros Labrinidis,University of Pittsburgh
Alexandru Nicolau,University of California - Irvine
Alex C. Snoeren,University of California - San Diego
Alexei A. Efros,University of California - Berkeley
Alex Endert,Georgia Institute of Technology
Alexey Tumanov,Georgia Institute of Technology
Alex Groce,Northern Arizona University
Alexis Battle,Johns Hopkins University
Alex Kirlik,Univ. of Illinois at Urbana-Champaign
Alex Orailoglu,University of California - San Diego
Alex Pothen,Purdue University
Alex T. Pang,University of California - Santa Cruz
Alex Zelikovsky,Georgia State University
Alfred C. Weaver,University of Virginia
Alfred Kobsa,University of California - Irvine
Alfred O. Hero III,University of Michigan
Alfredo Weitzenfeld,University of South Florida
Alfred V. Aho,Columbia University
Ali A. Minai,University of Cincinnati
Ali Borji,University of Central Florida
Ali Ebnenasir,Michigan Technological University
Ali Jannesari,Iowa State University
Ali Mili,NJIT
Alina Ene,Boston University
Alina Oprea,Northeastern University
Alin Deutsch,University of California - San Diego
Alin Dobra,University of Florida
Ali Raza Butt,Virginia Tech
Alireza Entezari,University of Florida
Ali Saman Tosun,University of Texas at San Antonio
Ali Shokoufandeh,Drexel University
Alistair Sinclair,University of California - Berkeley
Ali Zilouchian,Florida Atlantic University
Allen D. Malony,University of Oregon
Allen R. Tannenbaum,Stony Brook University
Allen Van Gelder,University of California - Santa Cruz
Allison Bishop,Columbia University
Alok N. Choudhary,Northwestern University
Alon Efrat,University of Arizona
Alonzo Kelly,Carnegie Mellon University
Aloysius K. Mok,University of Texas at Austin
Alvaro A. Cárdenas,University of Texas at Dallas
Alvin Cheung,University of California - Berkeley
Alvin R. Lebeck,Duke University
Alvitta Ottley,Washington University in St. Louis
Amal Ahmed,Northeastern University
Amanda Lazar,University of Maryland - College Park
Amanda Lee Hughes,Utah State University
Amarda Shehu,George Mason University
Ambuj K. Singh,University of California - Santa Barbara
Ameet Talwalkar,Carnegie Mellon University
Amelia Regan,University of California - Irvine
Amélie Marian,Rutgers University
Amey Bhangale,University of California - Riverside
Amiangshu Bosu,Wayne State University
Amihai Motro,George Mason University
Amin Karbasi,Yale University
Aminul Islam,University of Louisiana - Lafayette
Amir Ali Ahmadi,Princeton University
Amir Herzberg,University of Connecticut
Amir Houmansadr,University of Massachusetts Amherst
Amir Nayyeri,Oregon State University
Amir Rahmati,Stony Brook University
Amir Sadovnik,University of Tennessee
Amir Salman Avestimehr,University of Southern California
Amitabh Varshney,University of Maryland - College Park
Amit A. Levy,Princeton University
Amit Chakrabarti,Dartmouth College
Amit Jain,Boise State University
Amit K. Roy-Chowdhury,University of California - Riverside
Amit P. Sheth,University of South Carolina
Amit Ranjan Trivedi,University of Illinois at Chicago
Amit Sahai,University of California - Los Angeles
Amol Dattatraya Mali,University of Wisconsin - Milwaukee
Amol Deshpande,University of Maryland - College Park
Amos Ron,University of Wisconsin - Madison
Amotz Bar-Noy,CUNY
Amr El Abbadi,University of California - Santa Barbara
Amr Magdy 0001,University of California - Riverside
Amro Awad,University of Central Florida
Amr Sabry,Indiana University
Amy Banic,University of Wyoming
Amy Bruckman,Georgia Institute of Technology
Amy Greenwald,Brown University
Amy J. Ko,University of Washington
Amy McGovern,University of Oklahoma
Amy Ogan,Carnegie Mellon University
Amy Voida,University of Colorado Boulder
Amy W. Apon,Clemson University
Amy X. Zhang,University of Washington
Ana Milanova,Rensselaer Polytechnic Institute
Anand Rangarajan 0001,University of Florida
Anand R. Tripathi,University of Minnesota
Anand Sivasubramaniam,Pennsylvania State University
Anant Agarwal,Massachusetts Institute of Technology
Anantharaman Kalyanaraman,Washington State University
Ananth Grama,Purdue University
Anas Mahmoud,Louisiana State University - Baton Rouge
Anastasios Kyrillidis,Rice University
Anastasios Sidiropoulos,University of Illinois at Chicago
Anca D. Dragan,University of California - Berkeley
András Faragó,University of Texas at Dallas
Andrea C. Arpaci-Dusseau,University of Wisconsin - Madison
Andrea Grimes Parker,Northeastern University
Andrea Lockerd Thomaz,Georgia Institute of Technology
Andreas Haeberlen,University of Pennsylvania
Andreas Klappenecker,Texas A&M University
Andreas Stathopoulos,College of William and Mary
Andreas Stefik,University of Nevada Las Vegas
Andréa W. Richa,Arizona State University
André DeHon,University of Pennsylvania
Andrej Risteski,Carnegie Mellon University
André Platzer,Carnegie Mellon University
Andre Scedrov,University of Pennsylvania
André van der Hoek,University of California - Irvine
Andrew A. Chien,University of Chicago
Andrew B. Kahng,University of California - San Diego
Andrew C. Myers,Cornell University
Andrew Drucker,University of Chicago
Andrew E. Johnson,University of Illinois at Chicago
Andrew Gordon Wilson,Cornell University
Andrew H. Fagg,University of Oklahoma
Andrew H. Sung,University of Southern Mississippi
Andrew Lo,Massachusetts Institute of Technology
Andrew Lukefahr,Indiana University
Andrew McCallum,University of Massachusetts Amherst
Andrew McGregor 0001,University of Massachusetts Amherst
Andrew M. Childs,University of Maryland - College Park
Andrew Meneely,Rochester Institute of Technology
Andrew Miller 0001,Univ. of Illinois at Urbana-Champaign
Andrew Pavlo,Carnegie Mellon University
Andrew P. Tolmach,Portland State University
Andrew Robb,Clemson University
Andrew R. Post,Emory University
Andrew S. Grimshaw,University of Virginia
Andrew S. Lan,University of Massachusetts Amherst
Andrew S. Miner,Iowa State University
Andrew Sohn,NJIT
Andrew T. Campbell,Dartmouth College
Andrew T. Duchowski,Clemson University
Andrew W. Appel,Princeton University
Andrew W. Moore 0001,Carnegie Mellon University
Andrey N. Chernikov,Old Dominion University
Andrian Marcus,University of Texas at Dallas
Andries van Dam,Brown University
Andruid Kerne,Texas A&M University
Andy Gill,University of Kansas
Andy Podgurski,Case Western Reserve University
Ang Chen,Rice University
Angelos Stavrou,George Mason University
Angus Graeme Forbes,University of California - Santa Cruz
AnHai Doan,University of Wisconsin - Madison
Aniket Kate,Purdue University
Aniket Kittur,Carnegie Mellon University
Anil K. Jain,Michigan State University
Anil N. Hirani,Univ. of Illinois at Urbana-Champaign
Anil Vullikanti,University of Virginia
Anindya De,University of Pennsylvania
Ani Nenkova,University of Pennsylvania
Aniruddha S. Gokhale,Vanderbilt University
Anish Arora,Ohio State University
Anita Sarma,Oregon State University
An-I Wang,Florida State University
Ankur Agarwal,Florida Atlantic University
Ankur Moitra,Massachusetts Institute of Technology
Ankur Srivastava,University of Maryland - College Park
Anna Gál,University of Texas at Austin
Anna Lysyanskaya,Brown University
Anna R. Karlin,University of Washington
Anna Rumshisky,University of Massachusetts Lowell
Anneliese Amschler Andrews,University of Denver
Anne Marie Piper,Northwestern University
Anne R. Haake,Rochester Institute of Technology
Anne Rogers,University of Chicago
Annie I. Antón,Georgia Institute of Technology
Annie S. Wu,University of Central Florida
Ansaf Salleb-Aouissi,Columbia University
Anselm Blumer,Tufts University
Anshul Gandhi,Stony Brook University
Anshul Kundaje,Stanford University
Anshumali Shrivastava,Rice University
Anthony D. Joseph,University of California - Berkeley
Anthony Faiola,University of Illinois at Chicago
Anthony Gitter,University of Wisconsin - Madison
Anthony J. Hornof,University of Oregon
Anthony Maida,University of Louisiana - Lafayette
Anthony Skjellum,Auburn University
Antonella Di Lillo,Brandeis University
Antonia Zhai,University of Minnesota
Antonio Badia,University of Louisville
Antonio Blanca,Pennsylvania State University
Antonio Nicolosi,Stevens Institute of Technology
Antonio Torralba 0001,Massachusetts Institute of Technology
Anujan Varma,University of California - Santa Cruz
Anuj Karpatne,Virginia Tech
Anupam Das 0001,North Carolina State University
Anupam Datta,Carnegie Mellon University
Anupam Gupta,Carnegie Mellon University
Anupam Joshi,Univ. of Maryland - Baltimore County
Anup Kumar,University of Louisville
Anup Rao,University of Washington
Anxiao Jiang,Texas A&M University
Anys Bacha,University of Michigan-Dearborn
Aparna Chandramowlishwaran,University of California - Irvine
A. Pavan 0001,Iowa State University
Apostolos Gerasoulis,Rutgers University
A. Prasad Sistla,University of Illinois at Chicago
Apu Kapadia,Indiana University
A. P. Wim Böhm,Colorado State University
Arash Rafiey,Indiana State University
Arash Termehchy,Oregon State University
Aravindan Vijayaraghavan,Northwestern University
Aravind Prakash,Binghamton University
Aravind Srinivasan,University of Maryland - College Park
Ardalan Amiri Sani,University of California - Irvine
Arie E. Kaufman,Stony Brook University
Ariel D. Procaccia,Carnegie Mellon University
Ari Juels,Cornell University
Arindam Banerjee,University of Minnesota
Arjun Guha,University of Massachusetts Amherst
Arjun Mukherjee,University of Houston
Arkady Yerukhimovich,George Washington University
Armando Fox,University of California - Berkeley
Armando Solar-Lezama,Massachusetts Institute of Technology
Arnab Nandi 0001,Ohio State University
Arnav Jhala,North Carolina State University
A. Robert Calderbank,Duke University
Aron Culotta,Illinois Institute of Technology
Aron Laszka,University of Houston
Arpita Ghosh,Cornell University
Arpit Gupta,University of California - Santa Barbara
Arti Ramesh,Binghamton University
Aruna Balasubramanian,Stony Brook University
Arunava Banerjee,University of Florida
Arun K. Sood,George Mason University
Arun Kulshreshth,University of Louisiana - Lafayette
Arun Kumar 0001,University of California - San Diego
Arun Lakhotia,University of Louisiana - Lafayette
Arun Ross,Michigan State University
Arun Venkataramani,University of Massachusetts Amherst
Arvin Agah,University of Kansas
Arvind Krishnamurthy,University of Washington
Arvind,Massachusetts Institute of Technology
Arvind Narayanan,Princeton University
Asa Ben-Hur,Colorado State University
Ashish Goel,Stanford University
Ashish Venkat,University of Virginia
Ashit Talukder,UNC - Charlotte
Ashok K. Agrawala,University of Maryland - College Park
Ashok K. Goel 0001,Georgia Institute of Technology
Ashok Srinivasan,Florida State University
Ashok Veeraraghavan,Rice University
Ashutosh Trivedi 0001,University of Colorado Boulder
Ashwin Ashok,Georgia State University
Ashwin Machanavajjhala,Duke University
Asif Salekin,Syracuse University
Assaf J. Kfoury,Boston University
Asuman E. Ozdaglar,Massachusetts Institute of Technology
Atanas Rountev,Ohio State University
A. T. Chamillard,Univ. of Colorado Colorado Springs
Atif Memon,University of Maryland - College Park
Atri Rudra,University at Buffalo
Attila A. Yavuz,University of South Florida
Atul Prakash,University of Michigan
A. Udaya Shankar,University of Maryland - College Park
Audris Mockus,University of Tennessee
Augustin Chaintreau,Columbia University
Austin R. Benson,Cornell University
Austin Z. Henley,University of Tennessee
Avani Wildani,Emory University
Aveek Dutta,University of Kansas
Aviad Rubinstein,Stanford University
Avideh Zakhor,University of California - Berkeley
Aviel D. Rubin,Johns Hopkins University
Avinash Karanth Kodi,Ohio University
Aviral Shrivastava,Arizona State University
Avrim Blum,TTI Chicago
Aws Albarghouthi,University of Wisconsin - Madison
Ayan Chakrabarti,Washington University in St. Louis
Aylin Caliskan,George Washington University
Azalea Raad,Imperial College
Azer Bestavros,Boston University
Aziz Mohaisen,University of Central Florida
Baba C. Vemuri,University of Florida
B. Aditya Prakash,Virginia Tech
Badrinath Roysam,University of Houston
Baishakhi Ray,Columbia University
Balajee Vamanan,University of Illinois at Chicago
Balaji Prabhakar,Stanford University
Balaji Raghavachari,University of Texas at Dallas
Bala Kalyanasundaram,Georgetown University
Bamshad Mobasher,DePaul University
Baoxin Li,Arizona State University
Barbara Cutler,Rensselaer Polytechnic Institute
Barbara Di Eugenio,University of Illinois at Chicago
Barbara E. Engelhardt,Princeton University
Barbara G. Ryder,Virginia Tech
Barbara J. Grosz,Harvard University
Barbara Liskov,Massachusetts Institute of Technology
Barbara M. Chapman,Stony Brook University
Baris Kasikci,University of Michigan
Barnabás Póczos,Carnegie Mellon University
Barry W. Boehm,University of Southern California
Barton P. Miller,University of Wisconsin - Madison
Bartosz Krawczyk,Virginia Commonwealth University
Bart P. Knijnenburg,Clemson University
Bart Selman,Cornell University
Baruch Awerbuch,Johns Hopkins University
Baruch Schieber,NJIT
Barzan Mozafari,University of Michigan
Bedrich Benes,Purdue University
Behrooz Shirazi,Washington State University
Beichuan Zhang,University of Arizona
Bei Wang,University of Utah
Bella Bose,Oregon State University
Ben Carterette,University of Delaware
Ben Hardekopf,University of California - Santa Barbara
Benjamin C. Lee,Duke University
Benjamin C. Pierce,University of Pennsylvania
Benjamin Delaware,Purdue University
Benjamin Fuller,University of Connecticut
Benjamin J. Raphael,Princeton University
Benjamin Kuipers,University of Michigan
Benjamin Lok,University of Florida
Benjamin M. Marlin,University of Massachusetts Amherst
Benjamin Moseley,Carnegie Mellon University
Benjamin Raichel,University of Texas at Dallas
Benjamin Recht,University of California - Berkeley
Benjamin Van Durme,Johns Hopkins University
Benjamin Watson,North Carolina State University
Ben Langmead,Johns Hopkins University
Bennett A. Landman,Vanderbilt University
Ben Reichardt,University of Southern California
Ben Shneiderman,University of Maryland - College Park
Benyuan Liu,University of Massachusetts Lowell
Ben Y. Zhao,University of Chicago
Bernard Chazelle,Princeton University
Bernd Hamann,University of California - Davis
Bernd Sturmfels,University of California - Berkeley
Bernhard E. Boser,University of California - Berkeley
Bernhard Haeupler,Carnegie Mellon University
Berthe Y. Choueiry,University of Nebraska
Berthold K. P. Horn,Massachusetts Institute of Technology
Bert Huang,Virginia Tech
Bertram Ludäscher,Univ. of Illinois at Urbana-Champaign
Beth Plale,Indiana University
Betsy James DiSalvo,Georgia Institute of Technology
Betty H. C. Cheng,Michigan State University
Beverly A. Sanders,University of Florida
Bhagirath Narahari,George Washington University
Bharath Hariharan,Cornell University
Bharat Jayaraman,University at Buffalo
Bharat K. Bhargava,Purdue University
Bhaskar DasGupta,University of Illinois at Chicago
Bhaskar Krishnamachari,University of Southern California
Bhavani M. Thuraisingham,University of Texas at Dallas
Bhiksha Raj,Carnegie Mellon University
Bhuvan Urgaonkar,Pennsylvania State University
Biao Chen,Syracuse University
Bikramjit Banerjee,University of Southern Mississippi
Bilge Mutlu,University of Wisconsin - Madison
Bill Tomlinson,University of California - Irvine
Bimal Viswanath,Virginia Tech
Bing Liu 0001,University of Illinois at Chicago
Bing Wang 0001,University of Connecticut
Binhai Zhu,Montana State University
Bin Ren,College of William and Mary
Bin Yu 0001,University of California - Berkeley
Bir Bhanu,University of California - Riverside
Birhanu Eshete,University of Michigan-Dearborn
Bistra N. Dilkina,Georgia Institute of Technology
Biswanath Mukherjee,University of California - Davis
Björn Hartmann,University of California - Berkeley
Blair MacIntyre,Georgia Institute of Technology
Blase Ur,University of Chicago
Boaz Barak,Harvard University
Bobby Bhattacharjee,University of Maryland - College Park
Bobby Bodenheimer,Vanderbilt University
Bogdan Carbunar,Florida International University
Bogdan Dit,Boise State University
Bogdan Korel,Illinois Institute of Technology
Bogdan Vasilescu,Carnegie Mellon University
Boleslaw K. Szymanski,Rensselaer Polytechnic Institute
Bo Li 0026,Univ. of Illinois at Urbana-Champaign
Bo Luo,University of Kansas
Bonita Sharif,University of Nebraska
Bon K. Sy,CUNY
Bonnie A. Nardi,University of California - Irvine
Bonnie Berger,Massachusetts Institute of Technology
Boon Thau Loo,University of Pennsylvania
Boqing Gong,University of Central Florida
Boris Glavic,Illinois Institute of Technology
Borivoje Nikolic,University of California - Berkeley
Bor-Yuh Evan Chang,University of Colorado Boulder
Borzoo Bonakdarpour,Iowa State University
Bo Sheng,University of Massachusetts Boston
Bo Wu 0002,Colorado School of Mines
Boyana Norris,University of Oregon
Bo Yuan,Rochester Institute of Technology
B. Prabhakaran,University of Texas at Dallas
Brad A. Myers,Carnegie Mellon University
Bradford Campbell,University of Virginia
Bradley Hayes,University of Colorado Boulder
Bradley J. Lucier,Purdue University
Bradley Reaves,North Carolina State University
Bradley T. Vander Zanden,University of Tennessee
Brandon Dixon,The University of Alabama
Brandon Lucia,Carnegie Mellon University
B. R. Badrinath,Rutgers University
Brendan Juba,Washington University in St. Louis
Brendan Mumey,Montana State University
Brendan Saltaformaggio,Georgia Institute of Technology
Brendan T. O'Connor,University of Massachusetts Amherst
Brenna Argall,Northwestern University
Brent J. Hecht,Northwestern University
Brent Stephens,University of Illinois at Chicago
Brent Waters,University of Texas at Austin
Brett J. Borghetti,Air Force Institute of Technology
Brian A. Barsky,University of California - Berkeley
Brian A. Malloy,Clemson University
Brian C. Dean,Clemson University
Brian Curless,University of Washington
Brian D. Davison 0001,Lehigh University
Brian Demsky,University of California - Irvine
Brian D. Noble,University of Michigan
Brian Dorn,University of Nebraska - Omaha
Brian D. Ziebart,University of Illinois at Chicago
Brian Keegan,University of Colorado Boulder
Brian Kocoloski,Washington University in St. Louis
Brian Kulis,Boston University
Brian Murphy,CUNY
Brian Neil Levine,University of Massachusetts Amherst
Brian P. Bailey,Univ. of Illinois at Urbana-Champaign
Brian Scassellati,Yale University
Brian Summa,Tulane University
Brian W. Kernighan,Princeton University
Brian Y. Chen,Lehigh University
Brighten Godfrey,Univ. of Illinois at Urbana-Champaign
Brittany A. Duncan,University of Nebraska
Brittany Terese Fasy,Montana State University
Bruce A. Draper,Colorado State University
Bruce Gooch,Texas A&M University
Bruce H. Krogh,Carnegie Mellon University
Bruce M. Maggs,Duke University
Bruce M. McMillin,Missouri University of Technology
Bruce N. Walker,Georgia Institute of Technology
Bruce Randall Donald,Duke University
Bruce R. Childers,University of Pittsburgh
Bruce Tidor,Massachusetts Institute of Technology
Bruce W. Porter,University of Texas at Austin
Bruno Ribeiro 0001,Purdue University
Bruno Sinopoli,Carnegie Mellon University
Bryan Minor,Washington State University
Bryan Pardo,Northwestern University
Bryan Parno,Carnegie Mellon University
Bryan S. Morse,Brigham Young University
Brygg Ullmer,Louisiana State University - Baton Rouge
B. S. Manjunath,University of California - Santa Barbara
Byron Boots,University of Washington
Byron C. Wallace,Northeastern University
Caitlin Kelleher,Washington University in St. Louis
Caiwen Ding,University of Connecticut
Calton Pu,Georgia Institute of Technology
Calvin C. Newport,Georgetown University
Calvin J. Ribbens,Virginia Tech
Calvin Lin,University of Texas at Austin
Cameron Musco,University of Massachusetts Amherst
Camillo J. Taylor,University of Pennsylvania
Candace L. Sidner,Worcester Polytechnic Institute
Cang Ye,Virginia Commonwealth University
Can Isik,Syracuse University
Carla E. Brodley,Northeastern University
Carl A. Gunter,Univ. of Illinois at Urbana-Champaign
Carla P. Gomes,Cornell University
Carl H. Hauser,Washington State University
Carl K. Chang,Iowa State University
Carl Kingsford,Carnegie Mellon University
Carlo Pinciroli,Worcester Polytechnic Institute
Carlos A. Varela,Rensselaer Polytechnic Institute
Carlos Eduardo Scheidegger,University of Arizona
Carlos Jensen,Oregon State University
Carlos Maltzahn,University of California - Santa Cruz
Carlos Ordonez 0001,University of Houston
Carlos R. Rivero,Rochester Institute of Technology
Carlo Tomasi,Duke University
Carlotta Domeniconi,George Mason University
Carlo Zaniolo,University of California - Los Angeles
Carl Vondrick,Columbia University
Carola Wenk,Tulane University
Carole-Jean Wu,Arizona State University
Carolina Ruiz,Worcester Polytechnic Institute
Caroline M. Eastman,University of South Carolina
Caroline Uhler,Massachusetts Institute of Technology
Carolyn Penstein Rosé,Carnegie Mellon University
Carrick Detweiler,University of Nebraska
Casey Fiesler,University of Colorado Boulder
Casey Kennington,Boise State University
Casimir A. Kulikowski,Rutgers University
Catherine Blake,Univ. of Illinois at Urbana-Champaign
Catherine C. Marshall,Texas A&M University
Catherine Mills Olschanowsky,Boise State University
Cathy Wu,University of Delaware
Cauligi S. Raghavendra,University of Southern California
C.-C. Jay Kuo,University of Southern California
Cecilia R. Aragon,University of Washington
Cem Yuksel,University of Utah
Ceren Budak,University of Michigan
Cesare Tinelli,University of Iowa
César Torres 0001,University of Texas at Arlington
C. Greg Plaxton,University of Texas at Austin
Chandan K. Reddy,Virginia Tech
Chandra Chekuri,Univ. of Illinois at Urbana-Champaign
Chandrajit L. Bajaj,University of Texas at Austin
Chandra Kambhamettu,University of Delaware
Chandra Krintz,University of California - Santa Barbara
Changhee Jung,Purdue University
Changhe Yuan,CUNY
Changliu Liu,Carnegie Mellon University
Chang-Tien Lu,Virginia Tech
Chang Wen Chen,University at Buffalo
Changwoo Min,Virginia Tech
Changxi Zheng,Columbia University
Changyou Chen,University at Buffalo
Chao Chen 0012,Stony Brook University
Chaoli Wang,University of Notre Dame
Chao Peng,Rochester Institute of Technology
Chao Tian,University of Tennessee
Chao Wang 0001,University of Southern California
Chao Zhang 0014,Georgia Institute of Technology
Charalampos Chelmis,University at Albany - SUNY
Charalampos E. Tsourakakis,Boston University
Charalampos Papamanthou,University of Maryland - College Park
Charles B. Owen,Michigan State University
Charles C. Weems,University of Massachusetts Amherst
Charles D. Hansen,University of Utah
Charles E. Hughes,University of Central Florida
Charles E. Leiserson,Massachusetts Institute of Technology
Charles Elkan,University of California - San Diego
Charles J. Colbourn,Arizona State University
Charles L. Isbell Jr.,Georgia Institute of Technology
Charles M. Eastman,Georgia Institute of Technology
Charles Rich,Worcester Polytechnic Institute
Charless C. Fowlkes,University of California - Irvine
Charles W. Anderson,Colorado State University
Chase Qishi Wu,NJIT
Chein-I Chang,Univ. of Maryland - Baltimore County
Chen Ding,University of Rochester
Chenfanfu Jiang,University of Pennsylvania
Chengcui Zhang,University of Alabama - Birmingham
Chengjun Liu,NJIT
Chengkai Li,University of Texas at Arlington
ChengXiang Zhai,Univ. of Illinois at Urbana-Champaign
Chengyu Song,University of California - Riverside
Chenhao Tan,University of Colorado Boulder
Chen Li 0001,University of California - Irvine
Chenliang Xu,University of Rochester
Chen Qian 0001,University of California - Santa Cruz
Chenyang Lu,Washington University in St. Louis
Cherri M. Pancake,Oregon State University
Cheryl D. Seals,Auburn University
Chia-che Tsai,Texas A&M University
Chicheng Zhang,University of Arizona
Chien-Ju Ho,Washington University in St. Louis
Chinmay Kulkarni,Carnegie Mellon University
Chinwe Ekenna,University at Albany - SUNY
Chinya V. Ravishankar,University of California - Riverside
Chirag Shah,Rutgers University
Chi-Ren Shyu,University of Missouri
Chita R. Das,Pennsylvania State University
Chitta Baral,Arizona State University
Chiu Chiang Tan,Temple University
Cho-Jui Hsieh,University of California - Los Angeles
Chris Bailey-Kellogg,Dartmouth College
Chris Callison-Burch,University of Pennsylvania
Chris Clifton,Purdue University
Chris Gniady,University of Arizona
Chris Harrison,Carnegie Mellon University
Chris H. Q. Ding,University of Texas at Arlington
Chris Jermaine,Rice University
Chris Kanich,University of Illinois at Chicago
Chris North,Virginia Tech
Chris Parnin,North Carolina State University
