Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Srini Devadas,Massachusetts Institute of Technology,Indian Institute of Technology - Madras - India,,University of California - Berkeley - USA,,1988,Full,Hardware & Architecture,,,http://people.csail.mit.edu/devadas/,2,2016-07-24
Stephen Ward,Massachusetts Institute of Technology,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,,Full,Hardware & Architecture,,,http://www.csail.mit.edu/user/1517,6477,2017-01-30
Tomas Lozano-Perez,Massachusetts Institute of Technology,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Full,Artificial Intelligence,,,http://www.csail.mit.edu/user/810,2,2016-07-24
Tommi Jaakkola,Massachusetts Institute of Technology,,University of Helsinki - Finland,Massachusetts Institute of Technology - USA,University of California - Santa Cruz - USA,1998,Full,Machine Learning & Pattern Recognition,,,http://people.csail.mit.edu/tommi/tommi.html,9865,2018-06-12
Victor Zue,Massachusetts Institute of Technology,University of Florida - USA,University of Florida - USA,Massachusetts Institute of Technology - USA,,,Full,Natural Language & Speech,Male,http://www.csail.mit.edu/images/directory/zue.jpg,http://www.shiae.cuhk.edu/hk/seminar/Oct312008_ProfVictorZue_DL.pdf,2,2015-10-09
Vinod Vaikuntanathan,Massachusetts Institute of Technology,Indian Institute of Technology - Madras - India,,Massachusetts Institute of Technology - USA,IBM Research - New York - USA,2013,Assistant,Security & Privacy,,,http://people.csail.mit.edu/vinodv/,9205,2018-03-20
William Freeman,Massachusetts Institute of Technology,Stanford University - USA,Stanford University - USA,Massachusetts Institute of Technology - USA,,2001,Full,Computer Vision,Male,http://www.csail.mit.edu/user/800,http://www.csail.mit.edu/user/800,2,2015-10-09
William Peake,Massachusetts Institute of Technology,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,,Full,Machine Learning & Pattern Recognition,,,http://www.rle.mit.edu/people/directory/william-peake/,2,2016-07-24
Wojciech Matusik,Massachusetts Institute of Technology,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2011,Associate,Graphics,,,http://people.csail.mit.edu/wojciech/,9205,2018-03-20
Yury Polyanskiy,Massachusetts Institute of Technology,,Princeton University - USA,Princeton University - USA,,2011,Assistant,Algorithms & Theory,,,http://people.lids.mit.edu/yp/cv.pdf,2,2016-07-24
Allan Gottlieb,New York University,Massachusetts Institute of Technology - USA,,Brandeis University - USA,,,Full,Distributed & Parallel Computing,Male,http://cs.nyu.edu/~gottlieb/allan-2001-isca-3-crop-reduced.jpg,http://cs.nyu.edu/~gottlieb/;http://cs.nyu.edu/~gottlieb/tr/,2,2015-10-09
Benjamin Goldberg,New York University,Williams College - USA,Yale University - USA,Yale University - USA,,1994,Associate,Programming Languages,Male,http://cs.nyu.edu/cs/faculty/goldberg/me_bw.jpg,http://cs.nyu.edu/cs/faculty/goldberg/,2,2015-10-09
Bhubaneswar Mishra,New York University,Indian Institute of Technology - Kharagpur - India,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,Full,Computer Education,Male,http://cs.nyu.edu/cs/faculty/mishra/budcmu.png,http://cs.nyu.edu/cs/faculty/mishra/,8281,2017-09-23
Chee K. Yap,New York University,Massachusetts Institute of Technology - USA,Yale University - USA,Yale University - USA,,1981,Full,Algorithms & Theory,,,http://cs.nyu.edu/cs/faculty/yap/,2,2016-07-24
Christoph Bregler,New York University,Karlsruhe Institute of Technology - Germany,University of California - Berkeley - USA,University of California - Berkeley - USA,,2002,Full,Multimedia,,,http://cims.nyu.edu/~bregler/bregler-CV.pdf,9109,2018-01-29
Clark Barrett,New York University,Brigham Young University - USA,Stanford University - USA,Stanford University - USA,,,Associate,Algorithms & Theory,Male,http://cs.nyu.edu/~barrett/img/ClarkBarrett.jpg,http://cs.nyu.edu/~barrett/,8281,2017-09-23
Davi Geiger,New York University,Pontifical Catholic University of Rio de Janeiro - Brazil,,Massachusetts Institute of Technology - USA,,1998,Associate,Computer Vision,Male,http://cs.nyu.edu/cs/faculty/geiger/menu/images/davi.jpg,http://cs.nyu.edu/cs/faculty/geiger/,2,2015-10-09
David Sontag,New York University,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Microsoft Research - USA,2011,Assistant,Machine Learning & Pattern Recognition,Male,http://www.cs.nyu.edu/~dsontag/david_headshot.jpg,http://www.cs.nyu.edu/~dsontag/,8742,2017-12-01
Denis Zorin,New York University,Moscow Institute of Physics and Technology - Russia,California Institute of Technology - USA,California Institute of Technology - USA,,,Full,Graphics,Male,http://mrl.nyu.edu/~dzorin/photo.jpgG,http://mrl.nyu.edu/~dzorin/,8281,2017-09-23
Dennis Shasha,New York University,Yale University - USA,Syracuse University - USA,Harvard University - USA,,1984,Full,Databases,Male,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2xUcBQX9ZI4F8ustGuLIHenEbwTSrFGS7BVFRKfU6PIsxZV5LZew4iA,http://cs.nyu.edu/cs/faculty/shasha/,2,2015-10-09
Ernest Davis,New York University,Massachusetts Institute of Technology - USA,Yale University - USA,Yale University - USA,,1983,Full,Artificial Intelligence,Male,http://cs.nyu.edu/cs/faculty/davise/ernie.jpg,http://cs.nyu.edu/cs/faculty/davise/,2,2015-10-09
Helen Nissenbaum,New York University,University of the Witwatersrand - South Africa,Stanford University - USA,Stanford University - USA,Princeton University - USA,2001,Full,Security & Privacy,,,http://www.nyu.edu/projects/nissenbaum/main_cv.html,10576,2018-10-07
Jinyang Li,New York University,National University of Singapore - Singapore,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,2012,Associate,Networks & Communications,Female,http://www.news.cs.nyu.edu/~jinyang/jyshorthair.jpg,http://www.news.cs.nyu.edu/~jinyang/,2,2015-10-09
Joel Spencer,New York University,Massachusetts Institute of Technology - USA,Harvard University - USA,Harvard University - USA,Harvard University - USA,2010,Full,Algorithms & Theory,Male,http://cs.nyu.edu/cs/faculty/spencer/temptwo.jpg,http://cs.nyu.edu/cs/faculty/spencer/,2,2015-10-09
Juliana Freire,New York University,Federal University of Ceará - Brazil,Stony Brook University - USA,Stony Brook University - USA,,2014,Affiliate,Data Mining,Female,http://engineering.nyu.edu/files/imagecache/profile_full/pictures/picture-4254.png,http://vgc.poly.edu/~juliana/vitae-short.pdf,1,2019-01-28
Kenneth Perlin,New York University,Harvard University - USA,New York University - USA,New York University - USA,,1987,Full,Graphics,Male,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRw_U-qKUU5hd_z6G5iG4cO_6JexMa8SczTOvQYPQEwT7aKgrxEscJXkhM,http://mrl.nyu.edu/~perlin/,8280,2017-09-23
Lakshminarayanan Subramanian,New York University,Indian Institute of Technology - Madras - India,University of California - Berkeley - USA,University of California - Berkeley - USA,,2006,Associate,Networks & Communications,Male,http://cs.nyu.edu/~lakshmi/Lakshmi/images/lakshmi.jpg,http://cs.nyu.edu/~lakshmi/Lakshmi/Home.html,2,2015-10-09
Margaret H. Wright,New York University,Stanford University - USA,Stanford University - USA,Stanford University - USA,,,Full,Scientific Computing,,,http://as.nyu.edu/object/MargaretWright.html,2,2016-07-24
Mehryar Mohri,New York University,École Polytechnique - France,École Normale Supérieure - France,Paris XI - France,Bell Laboratories - USA,2004,Full,Machine Learning & Pattern Recognition,Male,http://www.cs.nyu.edu/~mohri/mohri4.jpg,http://cs.nyu.edu/cs/faculty/mohri/,2,2015-10-09
Michael L. Overton,New York University,University of British Columbia - Canada,Stanford University - USA,Stanford University - USA,,1979,Full,Software Engineering,,,http://cs.nyu.edu/cs/faculty/overton/,2,2016-07-24
Michael Walfish,New York University,Harvard University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2014,Associate,Security & Privacy,Male,http://www.cs.nyu.edu/~mwalfish/images/mike.png,http://www.cs.utexas.edu/~mwalfish/,2,2015-10-09
Mohamed Zahran,New York University,Cairo University - Cairo - Egypt,Cairo University - Cairo - Egypt,University of Maryland - College Park - USA,,2010,Clinical,Hardware & Architecture,,,http://www.mzahran.com/cv.pdf,2,2016-07-24
Oded Regev,New York University,,,Tel Aviv University - Israel,,2009,Full,Algorithms & Theory,Male,http://www.cims.nyu.edu/~regev/pics/oded_small_new.png,http://www.cims.nyu.edu/~regev/,2,2015-10-09
Olof Widlund,New York University,,,Uppsala University - Sweden,,,Full,Algorithms & Theory,,,http://cs.nyu.edu/cs/faculty/widlund/,2,2016-07-24
Panayotis Mavromatis,New York University,University of Cambridge - United Kingdom,Boston University - USA,Eastman School of Music - USA,,,Affiliate,Multimedia,,,http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis,2,2015-08-07
Patrick Cousot,New York University,,,Université Joseph Fourier - France,,,Full,Software Engineering,Male,http://cs.nyu.edu/~pcousot/pict/PC-L1010264-portrait.png,http://cs.nyu.edu/~pcousot/,2,2015-10-09
Ralph Grishman,New York University,Columbia College - USA,Columbia University - USA,Columbia University - USA,,1973,Full,Hardware & Architecture,Male,http://cs.nyu.edu/cs/faculty/grishman/grishman2009.JPG,http://cs.nyu.edu/cs/faculty/grishman/,2,2015-10-09
Richard Bonneau,New York University,Florida State University - USA,University of Washington - USA,University of Washington - USA,,2005,Assistant,Bioinformatics & Computational Biology,Male,https://pbs.twimg.com/profile_images/559891063956324352/m2WeptpG_400x400.jpeg,http://bonneaulab.bio.nyu.edu/files/bonneau-extendedCV_5.pdf,2,2015-10-09
Richard Cole,New York University,University College - Oxford - United Kingdom,Cornell University - USA,Cornell University - USA,,2011,Full,Algorithms & Theory,Male,http://cs.nyu.edu/cs/faculty/cole/rjc-photo.jpg,http://cs.nyu.edu/cs/faculty/cole/,2,2015-10-09
Rob Fergus,New York University,University of Cambridge - United Kingdom,California Institute of Technology - USA,University of Oxford - United Kingdom,,2007,Associate,Computer Vision,Male,http://cs.nyu.edu/~fergus/rob4.png,http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php,2,2015-10-09
Robert Grimm,New York University,Massachusetts Institute of Technology - USA,University of Washington - USA,University of Washington - USA,,2002,Associate,Programming Languages,Male,http://cs.nyu.edu/rgrimm/RobertGrimm.jpg,http://cs.nyu.edu/~rgrimm/,2,2015-10-09
Subhash Khot,New York University,Indian Institute of Technology - Bombay - India,,Princeton University - USA,,2008,Full,Algorithms & Theory,Male,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSF9sG7Q8msQRYGHnB-wS3Cagv5jjyppPIsyk4d8lYc6-cc_3hvTX0zR1pM,http://cs.nyu.edu/~khot/publications.html,2,2015-10-09
Thomas Wies,New York University,,Saarland University - Germany,Albert Ludwigs University of Freiburg - Germany,Institute of Science and Technology - Austria,2011,Assistant,Software Engineering,Male,http://cs.nyu.edu/wies/img/thwies.jpg,http://cs.nyu.edu/wies/,8280,2017-09-23
Victor Shoup,New York University,University of Wisconsin - Eau Claire - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,2002,Full,Algorithms & Theory,,,http://www.shoup.net/resume.pdf,6970,2017-03-28
Yann LeCun,New York University,École Supérieure d'Ingénieurs en Électronique et Électrotechnique - France,Universite Pierre et Marie Curie - France,Universite Pierre et Marie Curie - France,University of Toronto - Canada,2003,Full,Machine Learning & Pattern Recognition,,,http://yann.lecun.com/,653,2016-08-02
Yevgeniy Dodis,New York University,New York University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,IBM Thomas J. Watson Research Center - USA,2001,Full,Security & Privacy,Male,http://cs.nyu.edu/~dodis/me-boston2.jpg,http://cs.nyu.edu/~dodis/,2,2015-10-09
Zvi Kedem,New York University,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Technion-Israel Institute of Technology - Israel,Massachusetts Institute of Technology - USA,1991,Full,Distributed & Parallel Computing,Male,http://cs.nyu.edu/cs/faculty/kedem/images/kedem_small.jpg,http://cs.nyu.edu/cs/faculty/kedem/,2,2015-10-09
Ben Watson,North Carolina State University,University of California - Irvine - USA,,Georgia Institute of Technology - USA,,2006,Associate,Graphics,Male,https://www.csc.ncsu.edu/directories/photos/bwatson.jpg,http://www.csc.ncsu.edu/people/bwatson,2,2015-10-09
Blair D. Sullivan,North Carolina State University,Georgia Institute of Technology - USA,Princeton University - USA,Princeton University - USA,,2013,Assistant,Algorithms & Theory,Female,https://www.csc.ncsu.edu/directories/photos/vbsulliv.jpg,http://www.csc.ncsu.edu/people/vbsulliv,2,2015-10-09
Carla D. Savage,North Carolina State University,Case Western Reserve University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,,Full,Algorithms & Theory,Female,https://www.csc.ncsu.edu/directories/photos/savage.jpg,http://www.csc.ncsu.edu/people/savage,2,2015-10-09
Christopher G. Healey,North Carolina State University,University of Waterloo - Canada,University of British Columbia - Canada,University of British Columbia - Canada,University of California - Berkeley - USA,2003,Full,Graphics,Male,https://www.csc.ncsu.edu/directories/photos/healey.jpg,http://www.csc.ncsu.edu/people/healey,2,2015-10-09
David L. Roberts,North Carolina State University,Colgate University - USA,,Georgia Institute of Technology - USA,,2010,Assistant,Artificial Intelligence,Male,https://www.csc.ncsu.edu/directories/photos/dlrober4.jpg,https://www.csc.ncsu.edu/people/dlrober4,2,2015-10-09
David Sturgill,North Carolina State University,University of South Carolina - USA,Cornell University - USA,Cornell University - USA,,2011,Assistant,Distributed & Parallel Computing,,,http://www.csc.ncsu.edu/news/1197,2,2016-07-24
David Thuente,North Carolina State University,Lorse College - USA,University of Kansas - USA,University of Kansas - USA,,2001,Full,Networks & Communications,Male,https://www.csc.ncsu.edu/directories/photos/djthuent.jpg,http://www.csc.ncsu.edu/research/newsletter/2002/,2,2015-10-09
Dennis R. Bahler,North Carolina State University,Rice University - USA,University of Virginia - USA,University of Virginia - USA,,1987,Associate,Artificial Intelligence,Male,http://www.csc.ncsu.edu/directories/photos/bahler.jpg,http://www4.ncsu.edu/~bahler/education.html,2,2015-10-09
Donald Bitzer,North Carolina State University,,,University of Illinois at Urbana-Champaign - USA,,1990,Full,Hardware & Architecture,,,http://www.csc.ncsu.edu/people/bitzer,2,2016-07-24
Douglas S. Reeves,North Carolina State University,Indiana University - USA,University of Louisville - USA,Pennsylvania State University - USA,,1987,Full,Security & Privacy,Male,https://www.csc.ncsu.edu/directories/photos/reeves.jpg,http://reeves.csc.ncsu.edu/resume.shtml,2,2015-10-09
Edward Gehringer,North Carolina State University,Wayne State University - USA,Purdue University - USA,Purdue University - USA,,2000,Associate,Real-Time & Embedded Systems,Male,http://www.csc.ncsu.edu/directories/photos/efg.jpg,https://www.csc.ncsu.edu/people/efg,2,2015-10-09
Emerson Murphy-Hill,North Carolina State University,Evergreen State College - USA,,Portland State University - USA,University of British Columbia - Canada,2010,Assistant,Software Engineering,Male,https://www.csc.ncsu.edu/directories/photos/ermurph3.jpg,http://people.engr.ncsu.edu/ermurph3/,2,2015-10-09
Frank Mueller,North Carolina State University,Technical University of Berlin - Germany,Florida State University - USA,Florida State University - USA,Humboldt University - Berlin - Germany,2010,Full,Real-Time & Embedded Systems,Male,https://www.csc.ncsu.edu/directories/photos/fmuelle.jpg,http://moss.csc.ncsu.edu/~mueller/cv/,2,2015-10-09
George N. Rouskas,North Carolina State University,National Technical University of Athens - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,1994,Full,Networks & Communications,Male,https://www.csc.ncsu.edu/directories/photos/rouskas.jpg,http://rouskas.csc.ncsu.edu,2,2015-10-09
Harry Perros,North Carolina State University,University of Athens - Greece,University of Leeds - United Kingdom,Trinity College - Dublin - Ireland,,,Full,Networks & Communications,,,http://www.csc.ncsu.edu/people/hp,2,2016-07-24
Injong Rhee,North Carolina State University,Gyeongbuk University - South Korea,,University of North Carolina - Chapel Hill - USA,Emory University - USA,2001,Full,Networks & Communications,Male,https://www.csc.ncsu.edu/directories/photos/rhee.jpg,http://www4.ncsu.edu/~rhee/vita.pdf,2,2015-10-09
James C. Lester,North Carolina State University,University of Texas - Austin - USA,University of Texas - Austin - USA,University of Texas - Austin - USA,,1994,Full,Artificial Intelligence,,,http://www.intellimedia.ncsu.edu/?author=10,9418,2018-05-01
Jon Doyle,North Carolina State University,University of Houston - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,2001,Full,Artificial Intelligence,,,http://www.csc.ncsu.edu/faculty/doyle/info/bio.html,9418,2018-05-01
Kemafor Anyanwu Ogan,North Carolina State University,University of Nigeria - Nigeria,,University of Georgia - USA,,2007,Assistant,Artificial Intelligence,Female,,http://www.csc.ncsu.edu/people/kogan,2,2015-10-09
Khaled Harfoush,North Carolina State University,Alexandria University - Egypt,Alexandria University - Egypt,Boston University - USA,,,Associate,Security & Privacy,Male,http://www.csc.ncsu.edu/directories/photos/kaharfou.jpg,http://www.linkedin.com/pub/khaled-harfoush/10/420/11a,2,2015-10-09
Kristy Elizabeth Boyer,North Carolina State University,Valdosta State University - USA,Georgia Institute of Technology - USA,North Carolina State University - USA,,,Assistant,Artificial Intelligence,Female,http://www.csc.ncsu.edu/directories/photos/keboyer.jpg,http://www.csc.ncsu.edu/people/keboyer,2,2015-10-09
Laurie Williams,North Carolina State University,Lehigh University - USA,Duke University - USA,University of Utah - USA,,,Full,Software Engineering,Female,https://www.csc.ncsu.edu/directories/photos/lawilli3.jpg,http://collaboration.csc.ncsu.edu/laurie/,2,2015-10-09
Matthias Stallmann,North Carolina State University,,,University of Colorado Boulder - USA,,,Full,Scientific Computing,Male,https://www.csc.ncsu.edu/directories/photos/mfms.jpg,http://www.researchgate.net/profile/Matthias_Stallmann/,2,2015-10-09
Michael Rappa,North Carolina State University,,,University of Minnesota - Twin Cities - USA,,1998,Full,Scientific Computing,,,http://analytics.ncsu.edu/?page_id=7,2,2016-07-24
Michael Young,,,,,,,,,,,,,Not Applied
Min Chi,North Carolina State University,Shanghai Jiao Tong University - Shanghai - China,University of Pittsburgh - USA,University of Pittsburgh - USA,Carnegie Mellon University - USA,2013,Assistant,Artificial Intelligence,Female,http://www.csc.ncsu.edu/directories/photos/mchi.jpg,http://workthatmatters.ncsu.edu/newhires/chi.php,2,2015-10-09
Mladen Vouk,North Carolina State University,,,King's College - United Kingdom,,,Full,Software Engineering,Male,https://www.csc.ncsu.edu/directories/photos/vouk.jpg,http://www.csc.ncsu.edu/people/vouk,2,2015-10-09
Munindar P. Singh,North Carolina State University,Indian Institute of Technology - Delhi - India,,University of Texas - Austin - USA,,1993,Full,Scientific Computing,Male,https://www.csc.ncsu.edu/directories/photos/mpsingh.jpg,http://en.wikipedia.org/wiki/Munindar_P._Singh,2,2015-10-09
Nagiza Samatova,North Carolina State University,Tashkent State University of Economics - Uzbekistan,University of Tennessee - USA,Russian Academy of Sciences - Russia,,2007,Full,Programming Languages,Female,https://www.csc.ncsu.edu/directories/photos/nfsamato.jpg,http://www.csc.ncsu.edu/faculty/samatova/cv.pdf,2,2015-10-09
Peng Ning,North Carolina State University,University of Science and Technology of China - China,University of Science and Technology of China - China,George Mason University - USA,,2001,Full,Security & Privacy,Male,https://www.csc.ncsu.edu/directories/photos/pning.jpg,http://www.csc.ncsu.edu/people/pning,2,2015-10-09
R. Michael Young,North Carolina State University,California State University - Sacramento - USA,Stanford University - USA,Stanford University - USA,,1999,Full,Artificial Intelligence,Male,,http://www.csc.ncsu.edu/people/rmyoung;http://www.csc.ncsu.edu/directories/faculty.php;,2,2015-10-09
Rada Y. Chirkova,North Carolina State University,,,Stanford University - USA,,,Associate,Algorithms & Theory,Female,http://www.csc.ncsu.edu/directories/photos/rychirko.jpg,http://dbgroup.ncsu.edu/?page_id=29,2,2015-10-09
Randy Avent,North Carolina State University,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,University of North Carolina - Chapel Hill - USA,,,Full,Scientific Computing,,,https://www.csc.ncsu.edu/people/rkavent,2,2016-07-24
Robert D. Rodman,North Carolina State University,,,University of California - Los Angeles - USA,,,Full,Natural Language & Speech,Male,https://www.csc.ncsu.edu/directories/photos/rodman.jpg,http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CEUQFjAD&url=http%3A%2F%2Fbooks.google.com%2Fbooks%2Fabout%2FVoice_recognition.html%3Fid%3DuGBTAAAAMAAJ&ei=Zw_3Uoi0DNCqrAeH44GYAw&usg=AFQjCNF8K1vK3Z1XBHN5pSrMVUM5wS1ASg&sig2=P6GvpXCFfgRDLKirhf2F8Q&bvm=bv.60983673,2,2015-10-09
Robert Fornaro,North Carolina State University,Saint Vincent College - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,,Full,Software Engineering,,,http://www.computer.org/portal/web/awards/fornaro,2,2016-07-24
Robert St. Amant,North Carolina State University,Johns Hopkins University - USA,,University of Massachusetts - Amherst - USA,,2001,Associate,Software Engineering,Male,https://www.csc.ncsu.edu/directories/photos/stamant.jpg,http://www4.ncsu.edu/~stamant/cv.pdf,5794,2016-12-28
Rudra Dutta,North Carolina State University,Jadavpur University - India,Indian Institute of Science - Bangalore - India,North Carolina State University - USA,,,Full,Networks & Communications,Male,http://www.csc.ncsu.edu/directories/photos/rdutta.jpg,http://dutta.csc.ncsu.edu/,2,2015-10-09
Sarah Heckman,North Carolina State University,North Carolina State University - USA,North Carolina State University - USA,North Carolina State University - USA,,,Teaching,Software Engineering,,,http://people.engr.ncsu.edu/sesmith5/,2,2015-08-07
Steffen Heber,North Carolina State University,,Ruprecht Karl University of Heidelberg - Germany,Ruprecht Karl University of Heidelberg - Germany,,2003,Associate,Bioinformatics & Computational Biology,Male,https://www.csc.ncsu.edu/directories/photos/sheber.jpg,http://statgen.ncsu.edu/~sheber/,6692,2017-02-23
Tiffany Barnes,North Carolina State University,North Carolina State University - USA,North Carolina State University - USA,North Carolina State University - USA,,,Associate,Computer Education,Female,http://www.csc.ncsu.edu/directories/photos/tmbarnes.jpg,http://www.csc.ncsu.edu/people/tmbarnes,2,2015-10-09
Ting Yu,North Carolina State University,Peking University - Beijing - China,University of Minnesota - Twin Cities - USA,University of Illinois at Urbana-Champaign - USA,,2003,Associate,Security & Privacy,,,http://www4.ncsu.edu/~tyu/,2,2016-07-24
Vincent W. Freeh,North Carolina State University,University of Arizona - USA,University of Arizona - USA,University of Arizona - USA,,2003,Associate,Real-Time & Embedded Systems,Male,http://www.csc.ncsu.edu/directories/photos/vwfreeh.jpg,http://www.csc.ncsu.edu/people/vwfreeh,2,2015-10-09
William Enck,North Carolina State University,Pennsylvania State University - USA,Pennsylvania State University - USA,Pennsylvania State University - USA,,2011,Assistant,Operating Systems,Male,http://www.csc.ncsu.edu/directories/photos/whenck.jpg,http://www.csc.ncsu.edu/people/whenck,2,2015-10-09
William J. Stewart,North Carolina State University,Queen's University - Ontario - Canada,Queen's University - Ontario - Canada,Queen's University - Ontario - Canada,,1978,Full,Machine Learning & Pattern Recognition,Male,https://www.csc.ncsu.edu/directories/photos/billy.jpg,http://www4.ncsu.edu/~billy/,2,2015-10-09
Xiaohui (Helen) Gu,North Carolina State University,Peking University - Beijing - China,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,2008,Associate,Real-Time & Embedded Systems,Female,http://www.csc.ncsu.edu/directories/photos/xgu.jpg,http://www.csc.ncsu.edu/people/xgu,2,2015-10-09
Xiaosong Ma,North Carolina State University,Peking University - Beijing - China,,University of Illinois at Urbana-Champaign - USA,,,Associate,Hardware & Architecture,,,https://www.csc.ncsu.edu/people/xma,9068,2018-01-23
Xuxian Jiang,North Carolina State University,,,Purdue University - USA,,,Associate,Networks & Communications,Male,https://www.csc.ncsu.edu/directories/photos/xjiang4.jpg,http://www.csc.ncsu.edu/people/xjiang4,2,2015-10-09
Abraham H Haddad,Northwestern University,,,Princeton University - USA,,1988,Full,Algorithms & Theory,,,http://www.ece.northwestern.edu/~ahaddad/ahhbio.html,2,2016-07-24
Aggelos Katsaggelos,Northwestern University,Aristotle University of Thessaloniki - Greece,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,1985,Full,Networks & Communications,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/katsaggelos-aggelos.jpg,http://ivpl.eecs.northwestern.edu/people/akatsaggelos,2,2015-10-09
Alan V Sahakian,Northwestern University,University of Wisconsin - Parkside - USA,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,,1984,Full,Algorithms & Theory,,,http://users.eecs.northwestern.edu/~sahakian/vita/vitapub.pdf,2,2016-07-24
Aleksandar Kuzmanovic,Northwestern University,University of Belgrade - Serbia,University of Belgrade - Serbia,Rice University - USA,,2005,Associate,Networks & Communications,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/kuzmanovic-aleksandar.jpg,http://www.cs.northwestern.edu/~akuzma/,2,2015-10-09
Allen Taflove,Northwestern University,Northwestern University - USA,Northwestern University - USA,Northwestern University - USA,,1988,Full,Algorithms & Theory,,,http://www.ece.northwestern.edu/ecefaculty/Allen1.html,2,2016-07-24
Alok N Choudhary,Northwestern University,Birla Institute of Technology and Science - Pilani - India,University of Massachusetts - Amherst - USA,University of Illinois at Urbana-Champaign - USA,,,Full,Computer Vision,,,http://www.ece.northwestern.edu/~choudhar/,2,2016-07-24
Arthur Butz,Northwestern University,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Minnesota - Twin Cities - USA,,,Associate,Scientific Computing,,,http://archive.adl.org/learn/ext_us/butz.html,2,2016-07-24
Benjamin Watson,Northwestern University,University of California - Irvine - USA,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,2006,Associate,Computer Education,,,http://watson.csc.ncsu.edu/p/bio.html,2,2016-07-24
Brenna D Argall,Northwestern University,Carnegie Mellon University - USA,,Carnegie Mellon University - USA,,2011,Assistant,Artificial Intelligence,,,http://users.eecs.northwestern.edu/~argall/docs/b.argall_cv_short.pdf,2,2016-07-24
Bryan Pardo,Northwestern University,Ohio State University - USA,Ohio State University - USA,University of Michigan - USA,,2004,Associate,Human-Computer Interaction,Male,http://www.mccormick.northwestern.edu/images/news/2014/06/pardo.jpg,http://segal.northwestern.edu/news-events/events/bryan-pardo-teaching-machines-to-listen.html#.UvbLWGKSxns,2,2015-10-09
Chang Liu,Northwestern University,Tsinghua University - Beijing - China,California Institute of Technology - USA,California Institute of Technology - USA,University of Illinois - USA,2007,Full,Bioinformatics & Computational Biology,,,http://www.mech.northwestern.edu/people/faculty/profiles/liu-chang.html,2,2016-07-24
Chi-Haur Wu,Northwestern University,National Taiwan University - Taipei - Taiwan,Virginia Polytechnic Institute and State University - USA,Purdue University - USA,,1983,Associate,Computer Vision,Male,http://eecs.northwestern.edu/images/comprofiler/150_526ac557c94d9.jpg,http://users.eecs.northwestern.edu/~chwu/,2,2015-10-09
Christopher Riesbeck,Northwestern University,,,Stanford University - USA,,,Associate,Programming Languages,,,http://www.cs.northwestern.edu/~riesbeck/,6970,2017-03-28
Chung-Chieh Lee,Northwestern University,National Taiwan University - Taipei - Taiwan,Princeton University - USA,Princeton University - USA,,,Full,Distributed & Parallel Computing,Male,http://www.mccormick.northwestern.edu/images/research-and-faculty/directory/lee-chung-chieh.jpg,http://www.mccormick.northwestern.edu/directory/profiles/Chung-Chieh-Lee.html,2,2015-10-09
Don Norman,Northwestern University,Massachusetts Institute of Technology - USA,University of Pennsylvania - USA,University of Pennsylvania - USA,,,Full,Human-Computer Interaction,,,https://www.dropbox.com/s/a8x3lhn0wrrkcz4/Don%20Norman%20Curriculum%20Vitae.doc,2,2016-07-24
